date,wts,t_rel,side,px,shares,pnl_share
2026-01-12,1768197600,2,down,0.5,83.79000091552734,0.4825
2026-01-12,1768208400,2,down,0.8199999928474426,5.760000228881836,0.1696680068321228
2026-01-12,1768212000,2,down,0.6500000059604645,13.600000381469727,0.33407499416470526
2026-01-12,1768219200,2,up,0.5199999809265137,174.05999755859375,0.4625280190200806
2026-01-12,1768222800,2,down,0.49000000953674316,22.75,0.4925069904499054
2026-01-12,1768226400,2,up,0.5199999809265137,9.5600004196167,0.4625280190200806
2026-01-12,1768230000,2,up,0.5099999904632568,500.0,0.47250700952339175
2026-01-12,1768237200,2,down,0.5099999904632568,500.0,0.47250700952339175
2026-01-12,1768240800,2,up,0.5099999904632568,15.199999809265137,0.47250700952339175
2026-01-12,1768255200,2,up,0.5099999904632568,500.0,0.47250700952339175
2026-01-13,1768320000,2,down,0.7900000065565109,7.420000076293945,0.19838699370968343
2026-01-13,1768323600,2,down,0.5900000035762787,55.0,0.3930669964687824
2026-01-13,1768327200,2,up,0.5,40.959999084472656,0.4825
2026-01-13,1768334400,2,up,0.5199999809265137,116.41999816894531,0.4625280190200806
2026-01-14,1768370400,2,up,0.5099999904632568,462.8800048828125,0.47250700952339175
2026-01-14,1768377600,2,down,0.5,233.0,0.4825
2026-01-14,1768384800,2,up,0.5400000214576721,44.040000915527344,0.44261197866249086
2026-01-14,1768388400,2,down,0.5,20.0,0.4825
2026-01-15,1768464000,2,up,0.7400000095367432,12.0,0.24653199078369142
2026-01-15,1768464000,50,up,0.4699999988079071,38.099998474121094,0.5125630011970996
2026-01-15,1768464000,64,up,0.4699999988079071,38.099998474121094,0.5125630011970996
2026-01-15,1768482000,2,down,0.8599999994039536,54.0,0.1315720005660057
2026-01-15,1768489200,2,up,0.49000000953674316,5.0,0.4925069904499054
2026-01-15,1768496400,2,down,0.8299999982118607,116.91999816894531,0.16012300170552732
2026-01-15,1768503600,2,down,0.49000000953674316,500.0,0.4925069904499054
2026-01-15,1768507200,2,down,0.5099999904632568,500.0,0.47250700952339175
2026-01-15,1768510800,2,up,0.5,94.0,0.4825
2026-01-16,1768525200,2,up,0.5199999809265137,72.0,0.4625280190200806
2026-01-16,1768528800,2,down,0.760000005364418,87.94999694824219,0.22723199483084677
2026-01-16,1768532400,2,down,0.8499999940395355,41.68000030517578,0.14107500566840173
2026-01-16,1768536000,2,down,0.8199999928474426,94.36000061035156,0.1696680068321228
2026-01-16,1768539600,2,up,0.5099999904632568,500.0,0.47250700952339175
2026-01-16,1768543200,2,up,0.5099999904632568,500.0,0.47250700952339175
2026-01-16,1768550400,2,up,0.5099999904632568,500.0,0.47250700952339175
2026-01-16,1768554000,2,down,0.5,48.0,0.4825
2026-01-16,1768561200,2,up,0.7799999713897705,500.0,0.20798802748870854
2026-01-16,1768597200,2,down,0.7800000011920929,500.0,0.20798799885463715
