date,wts,t_rel,side,px,shares,fair,pnl_share
2026-01-13,1768336200,-6,down,0.79,12.658228,0.9999537593982591,0.19838698
2026-01-13,1768337100,-6,up,0.55,6.22,0.9999999999999996,0.432675
2026-01-13,1768338000,-5,down,0.53999996,18.51852,0.9885053568179135,0.44261205
2026-01-13,1768342500,-6,down,0.76,13.157895,1.0,0.22723201
2026-01-13,1768345200,-6,down,0.62,16.129032,1.0,0.363508
2026-01-13,1768346100,-6,down,0.53999996,18.51852,1.0,0.44261205
2026-01-14,1768366800,-4,down,0.48000002,20.833332,0.6375974458248999,0.50252795
2026-01-14,1768369500,-6,down,0.63,15.873016,0.9999272299292253,0.353683
2026-01-14,1768374000,-6,up,0.75,13.333333,0.8437587548816067,0.236875
2026-01-14,1768374900,-6,down,0.53,18.867926,1.0,0.45256302
2026-01-14,1768375800,-6,up,0.91,10.989011,1.0,0.084266976
2026-01-14,1768377600,-6,up,0.67,14.925373,1.0,0.31452298
2026-01-14,1768378500,-6,down,0.53,18.867926,1.0,0.45256302
2026-01-14,1768379400,-6,down,0.52,19.23077,1.0,0.46252802
2026-01-14,1768380300,-6,down,0.9,11.111112,1.0,0.09370002
2026-01-14,1768382100,-6,down,0.8,12.5,0.96251522701093,0.18879999
2026-01-14,1768384800,-6,up,0.53,18.867926,1.0,0.45256302
2026-01-14,1768386600,-6,up,0.83,12.048193,1.0,0.16012302
2026-01-14,1768387500,-6,down,0.5,20.0,0.9999987626692872,0.4825
2026-01-14,1768389300,-6,up,0.74,13.513514,1.0,0.246532
2026-01-15,1768445100,-6,up,0.37,27.027027,0.536190324759304,0.613683
2026-01-15,1768455900,-4,up,0.54,5.0,0.697797483681261,-0.557388
2026-01-15,1768456800,-6,up,0.6,16.666666,0.8146021485804763,0.3832
2026-01-15,1768457700,-6,up,0.9,11.111112,1.0,0.09370002
2026-01-15,1768463100,-6,up,0.47,13.0,0.9641467171376753,0.512563
2026-01-15,1768464900,-6,down,0.65,15.384616,1.0,0.33407503
2026-01-15,1768484700,-6,up,0.52,19.23077,1.0,0.46252802
2026-01-15,1768488300,-6,up,0.81,12.345679,1.0,0.179227
2026-01-15,1768490100,-6,down,0.62,8.38,1.0,0.363508
2026-01-15,1768491900,-6,up,0.5,20.0,1.0,0.4825
2026-01-15,1768494600,-6,up,0.55,18.181818,1.0,0.432675
2026-01-15,1768496400,-6,down,0.94,10.638298,1.0,0.056052003
2026-01-15,1768500900,-6,down,0.49,20.408163,1.0,0.49250698
2026-01-15,1768501800,-6,down,0.45,22.222223,1.0,0.532675
2026-01-15,1768504500,-6,down,0.89,11.235955,1.0,0.103147015
2026-01-15,1768509900,-6,down,0.44,22.727272,0.9999999980723462,0.542752
2026-01-16,1768526100,-6,up,0.57,17.54386,1.0,0.41284302
2026-01-16,1768527000,-6,down,0.39,25.641027,0.6812809977814489,0.593347
2026-01-16,1768527900,-6,up,0.82,5.0,0.999999998537638,0.169668
2026-01-16,1768528800,-6,down,0.87,11.494253,1.0,0.12208299
2026-01-16,1768529700,-6,up,0.49,20.408163,1.0,0.49250698
2026-01-16,1768530600,-6,down,0.81,12.345679,1.0,0.179227
2026-01-16,1768531500,-6,up,0.86,11.627907,0.9999810879134345,0.131572
2026-01-16,1768532400,-6,up,0.75,13.333333,1.0,0.236875
2026-01-16,1768533300,-6,down,0.72,13.888888,1.0,0.26588798
2026-01-16,1768534200,-6,down,0.88,10.0,1.0,0.112608
2026-01-16,1768535100,-6,down,0.88,11.363636,1.0,0.112608
2026-01-16,1768536000,-6,up,0.84,11.904762,1.0,0.15059203
2026-01-16,1768537800,-6,down,0.85,11.764706,1.0,0.14107499
2026-01-16,1768560300,-6,down,0.74,13.513514,1.0,0.246532
2026-01-16,1768561200,-2,up,0.79,7.55,0.8670452315978165,0.19838698
2026-01-16,1768564800,-6,up,0.7,14.285714,1.0,0.28530002
2026-01-16,1768565700,-6,up,0.67,14.925373,1.0,0.31452298
2026-01-16,1768566600,-6,down,0.85,11.764706,1.0,0.14107499
2026-01-16,1768569300,-6,up,0.9,11.111112,0.9999999999791757,0.09370002
2026-01-16,1768570200,-6,down,0.85,11.764706,1.0,0.14107499
2026-01-16,1768571100,-6,up,0.5,20.0,1.0,0.4825
2026-01-16,1768572000,-6,up,0.49,20.408163,0.9999999908662929,-0.507493
2026-01-16,1768573800,-6,down,0.94,10.638298,1.0,0.056052003
2026-01-16,1768577400,-6,down,0.83,5.0,0.9999999999999999,0.16012302
2026-01-16,1768579200,-6,up,0.91,10.989011,1.0,0.084266976
2026-01-16,1768580100,-6,up,0.88,11.363636,1.0,0.112608
2026-01-16,1768581000,-6,up,0.56,15.2,0.9999937263602423,0.422752
2026-01-16,1768581900,-6,down,0.37,10.18,0.9882847764283316,0.613683
2026-01-16,1768582800,-6,down,0.75,13.333333,0.9999999999974065,0.236875
2026-01-16,1768583700,-6,down,0.9,5.0,0.9983354957808048,0.09370002
2026-01-16,1768585500,-6,up,0.44,5.0,1.0,0.542752
2026-01-16,1768591800,-6,up,0.87,11.494253,1.0,0.12208299
2026-01-16,1768592700,-6,up,0.92,10.869565,1.0,0.07484798
2026-01-16,1768596300,-6,up,0.93,10.752688,1.0,0.065442994
2026-01-16,1768598100,-6,up,0.49,20.408163,0.9039484722958709,0.49250698
2026-01-16,1768599900,-6,down,0.84000003,10.0,0.9950337882467175,0.15059197
2026-01-16,1768603500,-6,up,0.81,12.345679,1.0,0.179227
2026-01-16,1768605300,-6,up,0.77,12.987013,1.0,0.21760301
2026-01-17,1768608000,-6,down,0.75,13.333333,0.9999478586801261,0.236875
2026-01-17,1768609800,-6,up,0.78,12.820514,0.9401040258457953,-0.792012
2026-01-17,1768610700,-4,down,0.88,7.26,0.9580411603696175,0.112608
2026-01-17,1768611600,-6,down,0.85,7.33,0.9985556571407186,0.14107499
2026-01-17,1768612500,-6,up,0.62,16.129032,1.0,0.363508
2026-01-17,1768614300,-6,down,0.65999997,15.151516,0.7959265187598423,0.32429203
2026-01-17,1768615200,-6,down,0.72,13.888888,1.0,0.26588798
2026-01-17,1768618800,-6,down,0.86,11.627907,1.0,0.131572
2026-01-17,1768623300,-6,up,0.84,11.904762,0.9656368619413062,0.15059203
2026-01-17,1768624200,-6,up,0.66,15.151515,0.7641961165620866,0.32429197
2026-01-17,1768653000,-6,down,0.65,15.384616,0.862322451490568,0.33407503
2026-01-17,1768657500,-5,up,0.83,12.048193,0.8975096802165602,0.16012302
2026-01-17,1768658400,-5,down,0.53,12.0,0.9649629466222411,0.45256302
2026-01-17,1768662000,-6,up,0.92,10.869565,1.0,0.07484798
2026-01-17,1768664700,-6,down,0.87,11.494253,0.9956798651567826,0.12208299
2026-01-17,1768666500,-6,down,0.71000004,14.084506,0.963927968446682,0.27558696
2026-01-17,1768679100,-6,down,0.92,10.869565,1.0,0.07484798
2026-01-18,1768694400,-3,up,0.91,10.989011,1.0,0.084266976
2026-01-18,1768710600,-6,down,0.63,5.0,0.999999442745483,0.353683
2026-01-18,1768717800,-6,down,0.63,15.873016,0.7127380362841327,-0.646317
2026-01-18,1768721400,-6,down,0.81,12.345679,1.0,0.179227
2026-01-18,1768723200,-6,up,0.78,12.820514,1.0,0.20798802
2026-01-18,1768724100,-6,up,0.93,10.752688,1.0,0.065442994
2026-01-18,1768725900,-6,up,0.91,10.989011,1.0,0.084266976
2026-01-18,1768730400,-6,down,0.89,11.235955,1.0,0.103147015
2026-01-18,1768731300,-6,down,0.5,20.0,0.9999968825437449,0.4825
2026-01-18,1768732200,-6,up,0.34,29.411764,1.0,0.644292
2026-01-18,1768733100,-6,up,0.56,17.857143,1.0,-0.577248
2026-01-18,1768734900,-6,down,0.39999998,25.000002,0.9716089307712069,0.58320004
2026-01-18,1768735800,-6,up,0.91,10.989011,0.9824477157101712,0.084266976
2026-01-18,1768736700,-6,up,0.92,10.869565,1.0,0.07484798
2026-01-18,1768737600,-6,down,0.84000003,6.06,1.0,0.15059197
2026-01-18,1768738500,-6,up,0.93,10.752688,0.9999999999999992,0.065442994
2026-01-18,1768740300,-6,down,0.85,10.0,0.9999999612192652,0.14107499
2026-01-18,1768742100,-6,down,0.78,12.820514,1.0,0.20798802
2026-01-18,1768743000,-6,up,0.77,12.987013,1.0,0.21760301
2026-01-18,1768743900,-6,down,0.82,12.195122,1.0,0.169668
2026-01-18,1768744800,-6,up,0.8,12.5,0.9999999999998637,0.18879999
2026-01-18,1768748400,-6,up,0.67,14.925373,1.0,0.31452298
2026-01-18,1768749300,-6,up,0.67,14.925373,1.0,0.31452298
2026-01-18,1768750200,-6,down,0.47000003,5.0,0.9119311022220503,0.512563
2026-01-18,1768751100,-6,up,0.89,11.235955,1.0,0.103147015
2026-01-18,1768752000,-6,up,0.65,15.384616,1.0,0.33407503
2026-01-18,1768752900,-6,down,0.39,25.641027,1.0,0.593347
2026-01-18,1768753800,-6,up,0.55,18.181818,1.0,0.432675
2026-01-18,1768754700,-6,down,0.55,18.181818,1.0,0.432675
2026-01-18,1768755600,-6,down,0.39,25.641027,0.9835157274902927,0.593347
2026-01-18,1768756500,-6,up,0.94,5.5,1.0,0.056052003
2026-01-18,1768758300,-6,up,0.63,15.873016,0.9999999999999318,0.353683
2026-01-18,1768759200,-6,down,0.92,10.869565,1.0,0.07484798
2026-01-18,1768760100,-6,up,0.49,20.408163,0.9999999999999997,0.49250698
2026-01-18,1768761000,-6,down,0.79,12.658228,1.0,0.19838698
2026-01-18,1768762800,-6,down,0.75,12.0,1.0,0.236875
2026-01-18,1768764600,-6,down,0.33999997,29.411766,1.0,0.644292
2026-01-18,1768765500,-6,down,0.86,11.627907,1.0,0.131572
2026-01-18,1768766400,-6,down,0.47000003,21.276594,1.0,0.512563
2026-01-19,1768786200,-6,down,0.93,10.752688,0.9999983207918287,0.065442994
2026-01-19,1768790700,-6,up,0.61,16.393442,0.8497597755402869,-0.626653
2026-01-19,1768797000,-2,down,0.66999996,8.0,0.9721457517429271,0.31452304
2026-01-20,1768873500,-6,down,0.5,20.0,0.6279646225078842,-0.5175
2026-01-20,1768875300,-5,up,0.75,13.333333,0.8277458404130408,0.236875
2026-01-20,1768877100,-6,down,0.32999998,30.303032,0.9997651917595645,0.654523
2026-01-20,1768882500,-6,down,0.64,5.48,0.9201401073802868,0.343872
2026-01-20,1768887900,-6,down,0.78,12.820514,0.8888259871316645,0.20798802
2026-01-20,1768895100,-6,down,0.87,11.494253,0.9507272650873717,0.12208299
2026-01-20,1768934700,-6,up,0.34,22.0,0.6814227127121589,-0.355708
2026-01-20,1768945500,-6,down,0.48000002,20.833332,0.8295022600127522,0.50252795
2026-01-21,1768953600,-3,down,0.82,5.67,0.8932349004443884,0.169668
2026-01-21,1768958100,-6,down,0.7,14.285714,0.8997465109964884,0.28530002
2026-01-21,1768959000,-6,down,0.94,10.638298,0.998379727094194,0.056052003
